Timestamp,Укажите ваш пол:,Как давно вы закончили бакалавриат?,Укажите ваш наивысший уровень образования:,Какой университет вы закончили?,Форма обучения на бакалавриате:,Как бы вы оценили материальное положение вашей семьи на момент вашего поступления в университет?,Работали ли вы во время обучения в университете?,Состояли ли вы во время обучения в университете в каких-либо студенческих общественных организациях?,  В каких студенческих организациях вы состояли?,Сколько времени в общем у вас уходило на вовлеченность во все студенческие организации в неделю (в часах)?,Сколько лет вы состояли в студенческом союзе?,"Какие навыки, по вашему мнению, вы приобрели благодаря участию в студенческих организациях? ",Кто в основном оплачивал вашу учёбу?,Получали ли вы скидку во время обучения?,В каком размере вы получали скидку?,Имели ли вы льготный статус при получении скидки?,Получали ли вы надбавку к базовой стипендии или президентскую стипендию во время обучения?,Ваш текущий трудовой статус:,Сфера вашей текущей профессиональной деятельности:,Связана ли ваша текущая работа с полученной в университете специальностью?,Занимаете ли вы руководящую должность? ,Продолжаете ли вы заниматься волонтёрской или общественной деятельностью после окончания университета? ,Ваш текущий ежемесячный доход (до вычета налогов) в белорусских рублях:,"Как вы считаете, помогло ли вам участие в студенческих организациях при трудоустройстве? "
10/04/2026 13:43:00,Мужской,1-2 года,Бакалавр,ИБ БГУ,Платная,Выше среднего,"Нет, не работал(а)","Нет, не состоял",,,,,Семья,"Да, 1 год",40%,Нет,,Найм на полную ставку,Финансы,Частично связана,Нет,Нет,3000-5000 BYN,Нет
10/04/2026 13:53:50,Женский,1-2 года,Бакалавр,ИБ БГУ,Платная,Выше среднего,"Да, подрабатывал(а) эпизодически","Да, состоял","ПрофКом, БРСМ, Старостат",1,Не состоял,"Лидерство, Организация и управление, Командная работа, Навыки коммуникации и публичных выступлений, Навыки решения конфликтов и участия в переговорах, Нетворкинг (установление профессиональных контактов)",Семья,"Да, 2 года",60%,Нет,,Найм на полную ставку,Маркетинг,Частично связана,Нет,Нет,3000-5000 BYN,Нет
10/04/2026 14:03:45,Женский,1-2 года,Бакалавр,ИБ БГУ,Платная,Выше среднего,"Нет, не работал(а)","Нет, не состоял",,,,,Семья,Нет,Не получал скидку,Нет,,Безработный,Предпринимательство,Частично связана,"Да, первого звена","Да, эпизодически",Предпочитаю не отвечать,Не участвовал в студенческих организациях
10/04/2026 14:05:03,Мужской,3-5 лет,Магистр,ИБ БГУ,Платная,Выше среднего,"Да, работал(а) на полставки","Да, состоял",Студенческий союз,20,3 года,"Тайм-менеджмент, Лидерство, Организация и управление, Командная работа, Навыки коммуникации и публичных выступлений, Проджект менеджмент, Навыки решения конфликтов и участия в переговорах, Нетворкинг (установление профессиональных контактов)",Семья,"Да, 3 года",60%,Нет,,Найм на полную ставку,IT,"Да, напрямую",Нет,Нет,Более 10000 BYN,"Да, напрямую (упоминал в резюме, нашел через полученные в студенческой организации связи)"
10/04/2026 14:07:01,Женский,1-2 года,Бакалавр,ИБ БГУ,Платная,Среднее,"Нет, не работал(а)","Да, состоял","Студенческий союз, ПрофКом, БРСМ",25,3 года,"Тайм-менеджмент, Организация и управление, Командная работа, Навыки коммуникации и публичных выступлений, Проджект менеджмент, Нетворкинг (установление профессиональных контактов)",Семья,"Да, 3 года",60%,Нет,,Найм на пол ставки,Маркетинг,Частично связана,Нет,"Да, эпизодически",до 1500 BYN,"Да, напрямую (упоминал в резюме, нашел через полученные в студенческой организации связи)"
10/04/2026 14:09:32,Женский,1-2 года,Бакалавр,ИБ БГУ,Платная,Среднее,"Нет, не работал(а)","Нет, не состоял",,,,,Семья,Нет,Не получал скидку,Нет,,Найм на полную ставку,E-commerce ,Частично связана,Нет,Нет,1500-2000 BYN,Не участвовал в студенческих организациях
10/04/2026 14:19:19,Женский,1-2 года,Бакалавр,ИБ БГУ,Платная,Среднее,"Да, подрабатывал(а) эпизодически","Да, состоял","Студенческий союз, Творческий Союз",25,3 года,"Тайм-менеджмент, Лидерство, Организация и управление, Командная работа, Навыки коммуникации и публичных выступлений, Проджект менеджмент, Навыки решения конфликтов и участия в переговорах, Нетворкинг (установление профессиональных контактов)",Семья,"Да, 1 год",40%,Нет,,Найм на полную ставку,Маркетинг,"Да, напрямую",Нет,Нет,3000-5000 BYN,"Да, напрямую (упоминал в резюме, нашел через полученные в студенческой организации связи)"
10/04/2026 14:21:21,Женский,1-2 года,Бакалавр,ИБ БГУ,Платная,Выше среднего,"Да, подрабатывал(а) эпизодически","Да, состоял",Студенческий союз,10,3 года,"Организация и управление, Командная работа, Навыки коммуникации и публичных выступлений, Проджект менеджмент, Навыки решения конфликтов и участия в переговорах, Нетворкинг (установление профессиональных контактов)",Семья,Нет,Не получал скидку,Нет,,Найм на полную ставку,Маркетинг,Частично связана,Нет,Нет,2000-3000 BYN,"Да, косвенно (навыки)"
10/04/2026 14:22:07,Мужской,1-2 года,Бакалавр,ИБ БГУ,Платная,Выше среднего,"Нет, не работал(а)","Нет, не состоял",,,,,Семья,"Да, 3 года",60%,Нет,,Фриланс,IT,Частично связана,Нет,"Да, эпизодически",2000-3000 BYN,Не участвовал в студенческих организациях
10/04/2026 14:30:15,Мужской,1-2 года,Бакалавр,ИБ БГУ,Платная,Среднее,"Да, работал(а) полный рабочий день","Да, состоял","Студенческий союз, БРСМ, Старостат",5,3 года,"Лидерство, Организация и управление, Командная работа, Навыки коммуникации и публичных выступлений, Проджект менеджмент, Нетворкинг (установление профессиональных контактов)",Сам(а) (Собственный зароботок),Нет,Не получал скидку,Нет,,Найм на полную ставку,Сфера обслуживания,Частично связана,"Да, среднего звена",Нет,5000-7500 BYN,"Да, косвенно (навыки)"
